id,i,j,mode,distance,time_a,time_b,time_c,time_d,alpha,C_consequence,e_window,l_window,capacity,unit_cost,deploy_cost,min_units,population_density,e_window_fmt,l_window_fmt
1,1,2,2,1227.15,13.81,15.34,15.34,19.94,0.00065,82.14,0.0,145.5,600.0,222.33,700.0,1,2.87,Day 1 00:00,Day 7 01:30
2,2,1,2,1227.15,13.81,15.34,15.34,19.94,0.00065,82.14,0.0,145.5,600.0,222.33,700.0,1,2.87,Day 1 00:00,Day 7 01:30
3,1,3,2,1063.92,11.97,13.3,13.3,17.29,0.00122,77.07,0.0,145.5,600.0,196.01,700.0,1,2.28,Day 1 00:00,Day 7 01:30
4,3,1,2,1063.92,11.97,13.3,13.3,17.29,0.00122,77.07,0.0,145.5,600.0,196.01,700.0,1,2.28,Day 1 00:00,Day 7 01:30
5,1,4,2,1122.1,12.62,14.03,14.03,18.23,0.00087,98.14,0.0,145.5,600.0,205.39,700.0,1,2.89,Day 1 00:00,Day 7 01:30
6,4,1,2,1122.1,12.62,14.03,14.03,18.23,0.00087,98.14,0.0,145.5,600.0,205.39,700.0,1,2.89,Day 1 00:00,Day 7 01:30
7,1,5,2,867.09,9.75,10.84,10.84,14.09,0.00198,32.77,0.0,145.5,600.0,164.27,700.0,1,2.97,Day 1 00:00,Day 7 01:30
8,5,1,2,867.09,9.75,10.84,10.84,14.09,0.00198,32.77,0.0,145.5,600.0,164.27,700.0,1,2.97,Day 1 00:00,Day 7 01:30
9,1,6,2,1300.62,14.63,16.26,16.26,21.14,0.00209,83.28,0.0,145.5,600.0,234.17,700.0,1,0.97,Day 1 00:00,Day 7 01:30
10,6,1,2,1300.62,14.63,16.26,16.26,21.14,0.00209,83.28,0.0,145.5,600.0,234.17,700.0,1,0.97,Day 1 00:00,Day 7 01:30
11,1,7,2,738.42,8.31,9.23,9.23,12.0,0.00112,71.72,0.0,145.5,600.0,143.52,700.0,1,0.73,Day 1 00:00,Day 7 01:30
12,7,1,2,738.42,8.31,9.23,9.23,12.0,0.00112,71.72,0.0,145.5,600.0,143.52,700.0,1,0.73,Day 1 00:00,Day 7 01:30
13,1,8,2,1385.17,15.58,17.31,17.31,22.51,0.00166,61.14,0.0,145.5,600.0,247.81,700.0,1,0.76,Day 1 00:00,Day 7 01:30
14,8,1,2,1385.17,15.58,17.31,17.31,22.51,0.00166,61.14,0.0,145.5,600.0,247.81,700.0,1,0.76,Day 1 00:00,Day 7 01:30
15,1,9,2,1153.39,12.98,14.42,14.42,18.74,0.00254,74.07,0.0,145.5,600.0,210.43,700.0,1,1.11,Day 1 00:00,Day 7 01:30
16,9,1,2,1153.39,12.98,14.42,14.42,18.74,0.00254,74.07,0.0,145.5,600.0,210.43,700.0,1,1.11,Day 1 00:00,Day 7 01:30
17,1,10,2,1263.96,14.22,15.8,15.8,20.54,0.00086,87.91,0.0,145.5,600.0,228.26,700.0,1,1.95,Day 1 00:00,Day 7 01:30
18,10,1,2,1263.96,14.22,15.8,15.8,20.54,0.00086,87.91,0.0,145.5,600.0,228.26,700.0,1,1.95,Day 1 00:00,Day 7 01:30
19,1,11,2,718.31,8.08,8.98,8.98,11.67,0.00178,74.02,0.0,145.5,600.0,140.28,700.0,1,1.15,Day 1 00:00,Day 7 01:30
20,11,1,2,718.31,8.08,8.98,8.98,11.67,0.00178,74.02,0.0,145.5,600.0,140.28,700.0,1,1.15,Day 1 00:00,Day 7 01:30
21,1,12,2,1331.6,14.98,16.64,16.64,21.64,0.00155,92.46,0.0,145.5,600.0,239.17,700.0,1,2.59,Day 1 00:00,Day 7 01:30
22,12,1,2,1331.6,14.98,16.64,16.64,21.64,0.00155,92.46,0.0,145.5,600.0,239.17,700.0,1,2.59,Day 1 00:00,Day 7 01:30
23,1,13,2,509.28,5.73,6.37,6.37,8.28,0.00212,51.73,0.0,145.5,600.0,106.57,700.0,1,2.39,Day 1 00:00,Day 7 01:30
24,13,1,2,509.28,5.73,6.37,6.37,8.28,0.00212,51.73,0.0,145.5,600.0,106.57,700.0,1,2.39,Day 1 00:00,Day 7 01:30
25,1,14,2,996.89,11.22,12.46,12.46,16.2,0.00164,92.68,0.0,145.5,600.0,185.2,700.0,1,0.64,Day 1 00:00,Day 7 01:30
26,14,1,2,996.89,11.22,12.46,12.46,16.2,0.00164,92.68,0.0,145.5,600.0,185.2,700.0,1,0.64,Day 1 00:00,Day 7 01:30
27,1,15,2,1013.05,11.4,12.66,12.66,16.46,0.00132,32.47,0.0,145.5,600.0,187.8,700.0,1,2.38,Day 1 00:00,Day 7 01:30
28,15,1,2,1013.05,11.4,12.66,12.66,16.46,0.00132,32.47,0.0,145.5,600.0,187.8,700.0,1,2.38,Day 1 00:00,Day 7 01:30
29,1,16,2,1017.91,11.45,12.72,12.72,16.54,0.00274,71.88,0.0,145.5,600.0,188.59,700.0,1,1.34,Day 1 00:00,Day 7 01:30
30,16,1,2,1017.91,11.45,12.72,12.72,16.54,0.00274,71.88,0.0,145.5,600.0,188.59,700.0,1,1.34,Day 1 00:00,Day 7 01:30
31,1,17,2,1483.74,16.69,18.55,18.55,24.11,0.00079,33.68,0.0,145.5,600.0,263.7,700.0,1,2.33,Day 1 00:00,Day 7 01:30
32,17,1,2,1483.74,16.69,18.55,18.55,24.11,0.00079,33.68,0.0,145.5,600.0,263.7,700.0,1,2.33,Day 1 00:00,Day 7 01:30
33,1,18,2,807.96,9.09,10.1,10.1,13.13,0.0014,91.36,0.0,145.5,600.0,154.73,700.0,1,1.32,Day 1 00:00,Day 7 01:30
34,18,1,2,807.96,9.09,10.1,10.1,13.13,0.0014,91.36,0.0,145.5,600.0,154.73,700.0,1,1.32,Day 1 00:00,Day 7 01:30
