train_id,origin_hub,destination_hub,departure_time,departure_time_fmt,arrival_time,arrival_time_fmt,capacity
X101,1,2,0.7,Day 1 00:42,16.04,Day 1 16:02,600.0
X102,2,1,0.7,Day 1 00:42,16.04,Day 1 16:02,600.0
X103,1,2,2.2,Day 1 02:12,17.54,Day 1 17:32,600.0
X104,2,1,2.2,Day 1 02:12,17.54,Day 1 17:32,600.0
X105,1,2,3.6,Day 1 03:36,18.94,Day 1 18:56,600.0
X106,2,1,3.6,Day 1 03:36,18.94,Day 1 18:56,600.0
X107,1,2,5.1,Day 1 05:06,20.44,Day 1 20:26,600.0
X108,2,1,5.1,Day 1 05:06,20.44,Day 1 20:26,600.0
X109,1,2,6.5,Day 1 06:30,21.84,Day 1 21:50,600.0
X110,2,1,6.5,Day 1 06:30,21.84,Day 1 21:50,600.0
X111,1,2,8.0,Day 1 08:00,23.34,Day 1 23:20,600.0
X112,2,1,8.0,Day 1 08:00,23.34,Day 1 23:20,600.0
X113,1,2,9.5,Day 1 09:30,24.84,Day 2 00:50,600.0
X114,2,1,9.5,Day 1 09:30,24.84,Day 2 00:50,600.0
X115,1,2,10.9,Day 1 10:54,26.24,Day 2 02:14,600.0
X116,2,1,10.9,Day 1 10:54,26.24,Day 2 02:14,600.0
X117,1,2,12.4,Day 1 12:24,27.74,Day 2 03:44,600.0
X118,2,1,12.4,Day 1 12:24,27.74,Day 2 03:44,600.0
X119,1,2,13.8,Day 1 13:48,29.14,Day 2 05:08,600.0
X120,2,1,13.8,Day 1 13:48,29.14,Day 2 05:08,600.0
X121,1,2,15.3,Day 1 15:18,30.64,Day 2 06:38,600.0
X122,2,1,15.3,Day 1 15:18,30.64,Day 2 06:38,600.0
X123,1,2,16.7,Day 1 16:42,32.04,Day 2 08:02,600.0
X124,2,1,16.7,Day 1 16:42,32.04,Day 2 08:02,600.0
X125,1,2,18.2,Day 1 18:12,33.54,Day 2 09:32,600.0
X126,2,1,18.2,Day 1 18:12,33.54,Day 2 09:32,600.0
X127,1,2,19.6,Day 1 19:36,34.94,Day 2 10:56,600.0
X128,2,1,19.6,Day 1 19:36,34.94,Day 2 10:56,600.0
X129,1,2,21.1,Day 1 21:06,36.44,Day 2 12:26,600.0
X130,2,1,21.1,Day 1 21:06,36.44,Day 2 12:26,600.0
X131,1,2,22.5,Day 1 22:30,37.84,Day 2 13:50,600.0
X132,2,1,22.5,Day 1 22:30,37.84,Day 2 13:50,600.0
X133,1,2,24.0,Day 2 00:00,39.34,Day 2 15:20,600.0
X134,2,1,24.0,Day 2 00:00,39.34,Day 2 15:20,600.0
X135,1,2,25.5,Day 2 01:30,40.84,Day 2 16:50,600.0
X136,2,1,25.5,Day 2 01:30,40.84,Day 2 16:50,600.0
X137,1,2,26.9,Day 2 02:54,42.24,Day 2 18:14,600.0
X138,2,1,26.9,Day 2 02:54,42.24,Day 2 18:14,600.0
X139,1,2,28.4,Day 2 04:24,43.74,Day 2 19:44,600.0
X140,2,1,28.4,Day 2 04:24,43.74,Day 2 19:44,600.0
X141,1,2,29.8,Day 2 05:48,45.14,Day 2 21:08,600.0
X142,2,1,29.8,Day 2 05:48,45.14,Day 2 21:08,600.0
X143,1,2,31.3,Day 2 07:18,46.64,Day 2 22:38,600.0
X144,2,1,31.3,Day 2 07:18,46.64,Day 2 22:38,600.0
X145,1,2,32.7,Day 2 08:42,48.04,Day 3 00:02,600.0
X146,2,1,32.7,Day 2 08:42,48.04,Day 3 00:02,600.0
X147,1,2,34.2,Day 2 10:12,49.54,Day 3 01:32,600.0
X148,2,1,34.2,Day 2 10:12,49.54,Day 3 01:32,600.0
X149,1,2,35.6,Day 2 11:36,50.94,Day 3 02:56,600.0
X150,2,1,35.6,Day 2 11:36,50.94,Day 3 02:56,600.0
X151,1,2,37.1,Day 2 13:06,52.44,Day 3 04:26,600.0
X152,2,1,37.1,Day 2 13:06,52.44,Day 3 04:26,600.0
X153,1,2,38.5,Day 2 14:30,53.84,Day 3 05:50,600.0
X154,2,1,38.5,Day 2 14:30,53.84,Day 3 05:50,600.0
X155,1,2,40.0,Day 2 16:00,55.34,Day 3 07:20,600.0
X156,2,1,40.0,Day 2 16:00,55.34,Day 3 07:20,600.0
X157,1,2,41.5,Day 2 17:30,56.84,Day 3 08:50,600.0
X158,2,1,41.5,Day 2 17:30,56.84,Day 3 08:50,600.0
X159,1,2,42.9,Day 2 18:54,58.24,Day 3 10:14,600.0
X160,2,1,42.9,Day 2 18:54,58.24,Day 3 10:14,600.0
X161,1,2,44.4,Day 2 20:24,59.74,Day 3 11:44,600.0
X162,2,1,44.4,Day 2 20:24,59.74,Day 3 11:44,600.0
X163,1,2,45.8,Day 2 21:48,61.14,Day 3 13:08,600.0
X164,2,1,45.8,Day 2 21:48,61.14,Day 3 13:08,600.0
X165,1,2,47.3,Day 2 23:18,62.64,Day 3 14:38,600.0
X166,2,1,47.3,Day 2 23:18,62.64,Day 3 14:38,600.0
X167,1,3,0.7,Day 1 00:42,14.0,Day 1 14:00,600.0
X168,3,1,0.7,Day 1 00:42,14.0,Day 1 14:00,600.0
X169,1,3,2.2,Day 1 02:12,15.5,Day 1 15:30,600.0
X170,3,1,2.2,Day 1 02:12,15.5,Day 1 15:30,600.0
X171,1,3,3.6,Day 1 03:36,16.9,Day 1 16:54,600.0
X172,3,1,3.6,Day 1 03:36,16.9,Day 1 16:54,600.0
X173,1,3,5.1,Day 1 05:06,18.4,Day 1 18:24,600.0
X174,3,1,5.1,Day 1 05:06,18.4,Day 1 18:24,600.0
X175,1,3,6.5,Day 1 06:30,19.8,Day 1 19:48,600.0
X176,3,1,6.5,Day 1 06:30,19.8,Day 1 19:48,600.0
X177,1,3,8.0,Day 1 08:00,21.3,Day 1 21:18,600.0
X178,3,1,8.0,Day 1 08:00,21.3,Day 1 21:18,600.0
X179,1,3,9.5,Day 1 09:30,22.8,Day 1 22:48,600.0
X180,3,1,9.5,Day 1 09:30,22.8,Day 1 22:48,600.0
X181,1,3,10.9,Day 1 10:54,24.2,Day 2 00:12,600.0
X182,3,1,10.9,Day 1 10:54,24.2,Day 2 00:12,600.0
X183,1,3,12.4,Day 1 12:24,25.7,Day 2 01:42,600.0
X184,3,1,12.4,Day 1 12:24,25.7,Day 2 01:42,600.0
X185,1,3,13.8,Day 1 13:48,27.1,Day 2 03:06,600.0
X186,3,1,13.8,Day 1 13:48,27.1,Day 2 03:06,600.0
X187,1,3,15.3,Day 1 15:18,28.6,Day 2 04:36,600.0
X188,3,1,15.3,Day 1 15:18,28.6,Day 2 04:36,600.0
X189,1,3,16.7,Day 1 16:42,30.0,Day 2 06:00,600.0
X190,3,1,16.7,Day 1 16:42,30.0,Day 2 06:00,600.0
X191,1,3,18.2,Day 1 18:12,31.5,Day 2 07:30,600.0
X192,3,1,18.2,Day 1 18:12,31.5,Day 2 07:30,600.0
X193,1,3,19.6,Day 1 19:36,32.9,Day 2 08:54,600.0
X194,3,1,19.6,Day 1 19:36,32.9,Day 2 08:54,600.0
X195,1,3,21.1,Day 1 21:06,34.4,Day 2 10:24,600.0
X196,3,1,21.1,Day 1 21:06,34.4,Day 2 10:24,600.0
X197,1,3,22.5,Day 1 22:30,35.8,Day 2 11:48,600.0
X198,3,1,22.5,Day 1 22:30,35.8,Day 2 11:48,600.0
X199,1,3,24.0,Day 2 00:00,37.3,Day 2 13:18,600.0
X200,3,1,24.0,Day 2 00:00,37.3,Day 2 13:18,600.0
X201,1,3,25.5,Day 2 01:30,38.8,Day 2 14:48,600.0
X202,3,1,25.5,Day 2 01:30,38.8,Day 2 14:48,600.0
X203,1,3,26.9,Day 2 02:54,40.2,Day 2 16:12,600.0
X204,3,1,26.9,Day 2 02:54,40.2,Day 2 16:12,600.0
X205,1,3,28.4,Day 2 04:24,41.7,Day 2 17:42,600.0
X206,3,1,28.4,Day 2 04:24,41.7,Day 2 17:42,600.0
X207,1,3,29.8,Day 2 05:48,43.1,Day 2 19:06,600.0
X208,3,1,29.8,Day 2 05:48,43.1,Day 2 19:06,600.0
X209,1,3,31.3,Day 2 07:18,44.6,Day 2 20:36,600.0
X210,3,1,31.3,Day 2 07:18,44.6,Day 2 20:36,600.0
X211,1,3,32.7,Day 2 08:42,46.0,Day 2 22:00,600.0
X212,3,1,32.7,Day 2 08:42,46.0,Day 2 22:00,600.0
X213,1,3,34.2,Day 2 10:12,47.5,Day 2 23:30,600.0
X214,3,1,34.2,Day 2 10:12,47.5,Day 2 23:30,600.0
X215,1,3,35.6,Day 2 11:36,48.9,Day 3 00:54,600.0
X216,3,1,35.6,Day 2 11:36,48.9,Day 3 00:54,600.0
X217,1,3,37.1,Day 2 13:06,50.4,Day 3 02:24,600.0
X218,3,1,37.1,Day 2 13:06,50.4,Day 3 02:24,600.0
X219,1,3,38.5,Day 2 14:30,51.8,Day 3 03:48,600.0
X220,3,1,38.5,Day 2 14:30,51.8,Day 3 03:48,600.0
