id,i,j,mode,distance,time_a,time_b,time_c,time_d,alpha,C_consequence,e_window,l_window,capacity,unit_cost,deploy_cost,min_units,population_density,e_window_fmt,l_window_fmt
1,1,2,2,476.18,5.36,5.95,5.95,7.74,0.00139,86.9,0.0,128.2,600.0,101.23,700.0,1,1.57,Day 1 00:00,Day 6 08:12
2,2,1,2,476.18,5.36,5.95,5.95,7.74,0.00139,86.9,0.0,128.2,600.0,101.23,700.0,1,1.57,Day 1 00:00,Day 6 08:12
3,1,3,2,1059.84,11.92,13.25,13.25,17.22,0.00232,87.49,0.0,128.2,600.0,195.35,700.0,1,2.4,Day 1 00:00,Day 6 08:12
4,3,1,2,1059.84,11.92,13.25,13.25,17.22,0.00232,87.49,0.0,128.2,600.0,195.35,700.0,1,2.4,Day 1 00:00,Day 6 08:12
5,1,4,2,407.86,4.59,5.1,5.1,6.63,0.00155,62.42,0.0,128.2,600.0,90.22,700.0,1,0.64,Day 1 00:00,Day 6 08:12
6,4,1,2,407.86,4.59,5.1,5.1,6.63,0.00155,62.42,0.0,128.2,600.0,90.22,700.0,1,0.64,Day 1 00:00,Day 6 08:12
7,1,5,2,995.59,11.2,12.44,12.44,16.18,0.00202,87.99,0.0,128.2,600.0,184.99,700.0,1,2.85,Day 1 00:00,Day 6 08:12
8,5,1,2,995.59,11.2,12.44,12.44,16.18,0.00202,87.99,0.0,128.2,600.0,184.99,700.0,1,2.85,Day 1 00:00,Day 6 08:12
9,1,6,2,540.96,6.09,6.76,6.76,8.79,0.00108,76.14,0.0,128.2,600.0,111.68,700.0,1,0.83,Day 1 00:00,Day 6 08:12
10,6,1,2,540.96,6.09,6.76,6.76,8.79,0.00108,76.14,0.0,128.2,600.0,111.68,700.0,1,0.83,Day 1 00:00,Day 6 08:12
11,1,7,2,646.49,7.27,8.08,8.08,10.51,0.00194,41.87,0.0,128.2,600.0,128.7,700.0,1,2.46,Day 1 00:00,Day 6 08:12
12,7,1,2,646.49,7.27,8.08,8.08,10.51,0.00194,41.87,0.0,128.2,600.0,128.7,700.0,1,2.46,Day 1 00:00,Day 6 08:12
13,1,8,2,1342.67,15.11,16.78,16.78,21.82,0.00058,67.29,0.0,128.2,600.0,240.96,700.0,1,2.49,Day 1 00:00,Day 6 08:12
14,8,1,2,1342.67,15.11,16.78,16.78,21.82,0.00058,67.29,0.0,128.2,600.0,240.96,700.0,1,2.49,Day 1 00:00,Day 6 08:12
15,1,9,2,1472.65,16.57,18.41,18.41,23.93,0.00119,41.84,0.0,128.2,600.0,261.92,700.0,1,2.69,Day 1 00:00,Day 6 08:12
16,9,1,2,1472.65,16.57,18.41,18.41,23.93,0.00119,41.84,0.0,128.2,600.0,261.92,700.0,1,2.69,Day 1 00:00,Day 6 08:12
17,1,10,2,1400.1,15.75,17.5,17.5,22.75,0.00099,60.91,0.0,128.2,600.0,250.22,700.0,1,2.3,Day 1 00:00,Day 6 08:12
18,10,1,2,1400.1,15.75,17.5,17.5,22.75,0.00099,60.91,0.0,128.2,600.0,250.22,700.0,1,2.3,Day 1 00:00,Day 6 08:12
19,1,11,2,1329.88,14.96,16.62,16.62,21.61,0.00092,76.55,0.0,128.2,600.0,238.89,700.0,1,2.52,Day 1 00:00,Day 6 08:12
20,11,1,2,1329.88,14.96,16.62,16.62,21.61,0.00092,76.55,0.0,128.2,600.0,238.89,700.0,1,2.52,Day 1 00:00,Day 6 08:12
21,1,12,2,1004.69,11.3,12.56,12.56,16.33,0.00091,32.49,0.0,128.2,600.0,186.46,700.0,1,1.2,Day 1 00:00,Day 6 08:12
22,12,1,2,1004.69,11.3,12.56,12.56,16.33,0.00091,32.49,0.0,128.2,600.0,186.46,700.0,1,1.2,Day 1 00:00,Day 6 08:12
23,1,13,2,1288.66,14.5,16.11,16.11,20.94,0.00061,30.58,0.0,128.2,600.0,232.25,700.0,1,1.4,Day 1 00:00,Day 6 08:12
24,13,1,2,1288.66,14.5,16.11,16.11,20.94,0.00061,30.58,0.0,128.2,600.0,232.25,700.0,1,1.4,Day 1 00:00,Day 6 08:12
25,1,14,2,469.98,5.29,5.87,5.87,7.64,0.00087,31.62,0.0,128.2,600.0,100.24,700.0,1,1.81,Day 1 00:00,Day 6 08:12
26,14,1,2,469.98,5.29,5.87,5.87,7.64,0.00087,31.62,0.0,128.2,600.0,100.24,700.0,1,1.81,Day 1 00:00,Day 6 08:12
27,1,15,2,1166.37,13.12,14.58,14.58,18.95,0.00157,39.42,0.0,128.2,600.0,212.53,700.0,1,1.33,Day 1 00:00,Day 6 08:12
28,15,1,2,1166.37,13.12,14.58,14.58,18.95,0.00157,39.42,0.0,128.2,600.0,212.53,700.0,1,1.33,Day 1 00:00,Day 6 08:12
29,1,16,2,1049.38,11.81,13.12,13.12,17.05,0.00285,99.48,0.0,128.2,600.0,193.66,700.0,1,1.1,Day 1 00:00,Day 6 08:12
30,16,1,2,1049.38,11.81,13.12,13.12,17.05,0.00285,99.48,0.0,128.2,600.0,193.66,700.0,1,1.1,Day 1 00:00,Day 6 08:12
31,1,17,2,411.64,4.63,5.15,5.15,6.69,0.00258,94.86,0.0,128.2,600.0,90.83,700.0,1,1.65,Day 1 00:00,Day 6 08:12
32,17,1,2,411.64,4.63,5.15,5.15,6.69,0.00258,94.86,0.0,128.2,600.0,90.83,700.0,1,1.65,Day 1 00:00,Day 6 08:12
33,1,18,2,1248.59,14.05,15.61,15.61,20.29,0.00267,72.67,0.0,128.2,600.0,225.78,700.0,1,2.68,Day 1 00:00,Day 6 08:12
34,18,1,2,1248.59,14.05,15.61,15.61,20.29,0.00267,72.67,0.0,128.2,600.0,225.78,700.0,1,2.68,Day 1 00:00,Day 6 08:12
35,1,19,2,426.29,4.8,5.33,5.33,6.93,0.00118,49.41,0.0,128.2,600.0,93.19,700.0,1,0.8,Day 1 00:00,Day 6 08:12
36,19,1,2,426.29,4.8,5.33,5.33,6.93,0.00118,49.41,0.0,128.2,600.0,93.19,700.0,1,0.8,Day 1 00:00,Day 6 08:12
37,1,20,2,1401.78,15.77,17.52,17.52,22.78,0.00058,77.08,0.0,128.2,600.0,250.49,700.0,1,0.68,Day 1 00:00,Day 6 08:12
38,20,1,2,1401.78,15.77,17.52,17.52,22.78,0.00058,77.08,0.0,128.2,600.0,250.49,700.0,1,0.68,Day 1 00:00,Day 6 08:12
39,2,3,2,796.86,8.96,9.96,9.96,12.95,0.00155,42.7,0.0,128.2,600.0,152.94,700.0,1,1.8,Day 1 00:00,Day 6 08:12
40,3,2,2,796.86,8.96,9.96,9.96,12.95,0.00155,42.7,0.0,128.2,600.0,152.94,700.0,1,1.8,Day 1 00:00,Day 6 08:12
41,2,4,2,988.49,11.12,12.36,12.36,16.06,0.00129,81.6,0.0,128.2,600.0,183.84,700.0,1,0.9,Day 1 00:00,Day 6 08:12
