id,x,y
1,78.43,145.99
2,94.73,141.76
3,119.01,127.89
4,97.55,92.9
5,87.08,124.99
6,105.57,147.78
7,92.14,92.45
8,87.97,155.72
9,84.6,121.41
10,116.9,89.37
11,157.02,158.76
12,140.36,128.64
13,170.91,97.49
14,153.55,143.78
15,160.11,122.58
16,139.22,124.31
17,146.76,123.31
18,146.47,150.34
19,164.59,111.05
20,155.77,108.2
21,35.14,95.6
22,45.37,99.07
23,35.45,168.86
24,33.15,206.28
25,21.52,173.22
26,33.62,110.29
27,44.22,129.58
28,33.24,25.29
29,17.11,166.88
30,38.72,164.23
31,60.27,161.58
32,15.16,86.77
33,42.13,72.02
34,60.75,214.01
35,54.92,119.46
36,229.57,51.22
37,202.94,117.6
38,224.59,122.17
39,194.34,93.71
40,203.72,85.08
41,195.78,107.98
42,209.91,179.98
43,227.32,129.48
44,210.53,180.64
45,231.86,159.98
46,227.52,212.82
47,189.53,200.13
48,201.33,120.15
49,227.34,168.45
50,194.86,156.75
