id,origin,destination,demand,E_od,L_od,alpha_T_od,E_od_fmt,L_od_fmt
1,23,36,35.7,9.2,36.1,0.8,Day 1 09:12,Day 2 12:06
2,35,49,105.5,8.7,28.9,0.8,Day 1 08:42,Day 2 04:54
3,33,49,115.9,35.1,50.7,0.8,Day 2 11:06,Day 3 02:42
4,22,43,92.1,28.3,52.0,0.8,Day 2 04:18,Day 3 04:00
5,32,49,97.8,28.1,56.2,0.8,Day 2 04:06,Day 3 08:12
6,26,38,184.1,1.6,18.6,0.8,Day 1 01:36,Day 1 18:36
7,29,44,112.9,0.0,18.5,0.8,Day 1 00:00,Day 1 18:30
8,35,43,82.9,21.3,41.5,0.8,Day 1 21:18,Day 2 17:30
9,23,37,115.6,12.1,27.9,0.8,Day 1 12:06,Day 2 03:54
10,33,44,55.4,0.9,18.7,0.8,Day 1 00:54,Day 1 18:42
11,31,48,183.5,27.1,42.7,0.8,Day 2 03:06,Day 2 18:42
12,30,46,194.2,9.3,35.8,0.8,Day 1 09:18,Day 2 11:48
13,25,48,147.7,12.5,30.6,0.8,Day 1 12:30,Day 2 06:36
14,32,36,83.2,0.0,23.3,0.8,Day 1 00:00,Day 1 23:18
15,27,48,44.7,21.3,36.6,0.8,Day 1 21:18,Day 2 12:36
