train_id,origin_hub,destination_hub,departure_time,departure_time_fmt,arrival_time,arrival_time_fmt,capacity
X101,1,2,1.5,Day 1 01:30,7.45,Day 1 07:27,600.0
X102,2,1,1.5,Day 1 01:30,7.45,Day 1 07:27,600.0
X103,1,2,4.5,Day 1 04:30,10.45,Day 1 10:27,600.0
X104,2,1,4.5,Day 1 04:30,10.45,Day 1 10:27,600.0
X105,1,2,7.5,Day 1 07:30,13.45,Day 1 13:27,600.0
X106,2,1,7.5,Day 1 07:30,13.45,Day 1 13:27,600.0
X107,1,2,10.5,Day 1 10:30,16.45,Day 1 16:27,600.0
X108,2,1,10.5,Day 1 10:30,16.45,Day 1 16:27,600.0
X109,1,2,13.5,Day 1 13:30,19.45,Day 1 19:27,600.0
X110,2,1,13.5,Day 1 13:30,19.45,Day 1 19:27,600.0
X111,1,2,16.5,Day 1 16:30,22.45,Day 1 22:27,600.0
X112,2,1,16.5,Day 1 16:30,22.45,Day 1 22:27,600.0
X113,1,2,19.5,Day 1 19:30,25.45,Day 2 01:27,600.0
X114,2,1,19.5,Day 1 19:30,25.45,Day 2 01:27,600.0
X115,1,2,22.5,Day 1 22:30,28.45,Day 2 04:27,600.0
X116,2,1,22.5,Day 1 22:30,28.45,Day 2 04:27,600.0
X117,1,2,25.5,Day 2 01:30,31.45,Day 2 07:27,600.0
X118,2,1,25.5,Day 2 01:30,31.45,Day 2 07:27,600.0
X119,1,2,28.5,Day 2 04:30,34.45,Day 2 10:27,600.0
X120,2,1,28.5,Day 2 04:30,34.45,Day 2 10:27,600.0
X121,1,2,31.5,Day 2 07:30,37.45,Day 2 13:27,600.0
X122,2,1,31.5,Day 2 07:30,37.45,Day 2 13:27,600.0
X123,1,2,34.5,Day 2 10:30,40.45,Day 2 16:27,600.0
X124,2,1,34.5,Day 2 10:30,40.45,Day 2 16:27,600.0
X125,1,2,37.5,Day 2 13:30,43.45,Day 2 19:27,600.0
X126,2,1,37.5,Day 2 13:30,43.45,Day 2 19:27,600.0
X127,1,2,40.5,Day 2 16:30,46.45,Day 2 22:27,600.0
X128,2,1,40.5,Day 2 16:30,46.45,Day 2 22:27,600.0
X129,1,2,43.5,Day 2 19:30,49.45,Day 3 01:27,600.0
X130,2,1,43.5,Day 2 19:30,49.45,Day 3 01:27,600.0
X131,1,2,46.5,Day 2 22:30,52.45,Day 3 04:27,600.0
X132,2,1,46.5,Day 2 22:30,52.45,Day 3 04:27,600.0
X133,1,3,1.5,Day 1 01:30,14.75,Day 1 14:45,600.0
X134,3,1,1.5,Day 1 01:30,14.75,Day 1 14:45,600.0
X135,1,3,4.5,Day 1 04:30,17.75,Day 1 17:45,600.0
X136,3,1,4.5,Day 1 04:30,17.75,Day 1 17:45,600.0
X137,1,3,7.5,Day 1 07:30,20.75,Day 1 20:45,600.0
X138,3,1,7.5,Day 1 07:30,20.75,Day 1 20:45,600.0
X139,1,3,10.5,Day 1 10:30,23.75,Day 1 23:45,600.0
X140,3,1,10.5,Day 1 10:30,23.75,Day 1 23:45,600.0
X141,1,3,13.5,Day 1 13:30,26.75,Day 2 02:45,600.0
X142,3,1,13.5,Day 1 13:30,26.75,Day 2 02:45,600.0
X143,1,3,16.5,Day 1 16:30,29.75,Day 2 05:45,600.0
X144,3,1,16.5,Day 1 16:30,29.75,Day 2 05:45,600.0
X145,1,3,19.5,Day 1 19:30,32.75,Day 2 08:45,600.0
X146,3,1,19.5,Day 1 19:30,32.75,Day 2 08:45,600.0
X147,1,3,22.5,Day 1 22:30,35.75,Day 2 11:45,600.0
X148,3,1,22.5,Day 1 22:30,35.75,Day 2 11:45,600.0
X149,1,3,25.5,Day 2 01:30,38.75,Day 2 14:45,600.0
X150,3,1,25.5,Day 2 01:30,38.75,Day 2 14:45,600.0
X151,1,3,28.5,Day 2 04:30,41.75,Day 2 17:45,600.0
X152,3,1,28.5,Day 2 04:30,41.75,Day 2 17:45,600.0
X153,1,3,31.5,Day 2 07:30,44.75,Day 2 20:45,600.0
X154,3,1,31.5,Day 2 07:30,44.75,Day 2 20:45,600.0
X155,1,3,34.5,Day 2 10:30,47.75,Day 2 23:45,600.0
