==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      200 |      6 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      400 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2323245291 |         ideal
     3 |      600 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0990634006 |         ideal
     4 |      800 |     18 |  0.000000E+00 |  0.000000E+00 |  0.2910571748 |         ideal
     5 |     1000 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0671506352 |         ideal
     6 |     1200 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0316840278 |         ideal
     7 |     1400 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0217710070 |             f
     8 |     1600 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0160562096 |             f
     9 |     1800 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0129814312 |             f
    10 |     2000 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0057699155 |             f
    11 |     2200 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0072100332 |             f
    12 |     2400 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0028503857 |             f
    13 |     2600 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0007862350 |             f
    14 |     2800 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0015471354 |             f
    15 |     3000 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0020638032 |             f
    16 |     3200 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0020638032 |             f
    17 |     3400 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0020638032 |             f
    18 |     3600 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0020638032 |             f
    19 |     3800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0037501555 |             f
    20 |     4000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    21 |     4200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    22 |     4400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    23 |     4600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    24 |     4800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    25 |     5000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    26 |     5200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    27 |     5400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    28 |     5600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    29 |     5800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    30 |     6000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    31 |     6200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    32 |     6400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    33 |     6600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    34 |     6800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    35 |     7000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    36 |     7200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    37 |     7400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    38 |     7600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    39 |     7800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    40 |     8000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    41 |     8200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    42 |     8400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    43 |     8600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    44 |     8800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    45 |     9000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    46 |     9200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    47 |     9400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    48 |     9600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    49 |     9800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    50 |    10000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    51 |    10200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    52 |    10400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    53 |    10600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    54 |    10800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    55 |    11000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    56 |    11200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    57 |    11400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    58 |    11600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    59 |    11800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    60 |    12000 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    61 |    12200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    62 |    12400 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    63 |    12600 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    64 |    12800 |     27 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
